course_code,course_name,grade,credits,semester
ENG101,English Composition I,A-,3,Fall 2022
ENG102,English Composition II,B+,3,Spring 2023
MAT120,Integral Calculus & Differential Equations,A,3,Fall 2022
MAT125,Linear Algebra,B,3,Spring 2023
MAT130,Probability & Statistics,B+,3,Fall 2023
PHY107,Physics I,A-,3,Fall 2022
PHY108,Physics I Lab,A,0,Fall 2022
PHY108,Physics I Lab,A,0,Spring 2023
CSE115,Programming Language I,A,3,Fall 2022
CSE173,Discrete Mathematics,W,3,Spring 2023
CSE173,Discrete Mathematics,B,3,Fall 2023
CSE215,Programming Language II,A-,3,Spring 2023
CSE225,Data Structures & Algorithms,B+,3,Fall 2023
CSE311,Database Systems,A,3,Spring 2024
CSE321,Operating Systems,B,3,Spring 2024
CSE331,Microprocessor Interfacing & Assembly,B-,3,Fall 2023
CSE373,Automata & Computability,C+,3,Spring 2024
HIS103,History of the Emergence of Bangladesh,F,3,Fall 2022
HIS103,History of the Emergence of Bangladesh,B+,3,Spring 2023
BUS112,Principles of Accounting,C,3,Spring 2023
ECO104,Principles of Microeconomics,B-,3,Fall 2022
CSE299,Junior Design Project,B+,3,Fall 2023
CSE332,Computer Organization & Architecture,A-,3,Spring 2024
CSE422,Computer Networks,B+,3,Fall 2024
CSE424,Computer Networks Lab,A,0,Fall 2024
CSE499,Senior Design Project,A,6,Spring 2025
ENG103,English III - Advanced Writing, ,3,Fall 2023
